region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Japan,Joey,リチャード どうぶつの森,0.0,0.0,0.0,0.0,5.0,47.0,177.0,0.5728155339805825,0.0,0.229126213592233,196
Japan,Judy,みすず どうぶつの森,0.032,0.0,0.0,0.022,1.0,12.0,12.0,0.9733009708737864,0.36065573770491804,0.6057138309724655,11
Japan,Julia,ジュリア どうぶつの森,0.0,0.0,0.0,0.0,4.0,53.0,123.0,0.7038834951456311,0.0,0.28155339805825247,150
Japan,Julian,ジュリー どうぶつの森,0.0,0.0,0.0,0.0,2.0,14.0,29.0,0.9320388349514563,0.0,0.37281553398058254,65
Japan,June,メイ どうぶつの森 住民 cub,0.0,0.0,0.0,0.0,5.0,44.0,174.0,0.5800970873786409,0.0,0.23203883495145636,195
Japan,Kabuki,かぶきち どうぶつの森,0.0,0.0,0.0,0.0,3.0,11.0,51.0,0.8786407766990292,0.0,0.3514563106796117,87
Japan,Katt,ちょい どうぶつの森,0.0,0.0,0.0,0.0,3.0,26.0,66.0,0.8422330097087378,0.0,0.33689320388349514,98
Japan,Keaton,フランク どうぶつの森,0.0,0.0,0.0,0.0,6.0,43.0,293.0,0.2912621359223301,0.0,0.11650485436893204,287
Japan,Ken,クロベエ どうぶつの森 住民 chicken,0.028,0.0,0.0,0.019,6.0,75.0,325.0,0.21359223300970875,0.3114754098360656,0.27232213910552283,160
Japan,Ketchup,ケチャップ どうぶつの森,0.035,0.0,0.0,0.024,2.0,10.0,25.0,0.941747572815534,0.39344262295081966,0.6127646028967054,10
Japan,Kevin,イノッチ どうぶつの森,0.0,0.0,0.0,0.0,6.0,119.0,369.0,0.10679611650485432,0.0,0.04271844660194173,348
Japan,Kid Cat,１ごう どうぶつの森,0.0,0.0,0.0,0.0,3.0,27.0,67.0,0.8398058252427184,0.0,0.3359223300970874,99
Japan,Kidd,やさお どうぶつの森,0.0,0.0,0.0,0.0,4.0,41.0,111.0,0.7330097087378641,0.0,0.29320388349514565,143
Japan,Kiki,キャビア どうぶつの森,0.0,0.0,0.0,0.0,2.0,19.0,34.0,0.9199029126213593,0.0,0.3679611650485437,71
Japan,Kitt,アップリケ どうぶつの森,0.0,0.0,0.0,0.0,6.0,46.0,296.0,0.28398058252427183,0.0,0.11359223300970873,288
Japan,Kitty,ショコラ どうぶつの森 住民 cat,0.0,0.0,0.0,0.0,5.0,115.0,245.0,0.4077669902912622,0.0,0.1631067961165049,249
Japan,Klaus,クマロス どうぶつの森,0.0,0.0,0.0,0.0,6.0,85.0,335.0,0.1893203883495146,0.0,0.07572815533980584,319
Japan,Knox,キンカク どうぶつの森,0.0,0.0,0.0,0.0,5.0,110.0,240.0,0.41990291262135926,0.0,0.16796116504854372,245
Japan,Kody,アイダホ どうぶつの森,0.0,0.0,0.0,0.0,6.0,63.0,313.0,0.24271844660194175,0.0,0.09708737864077671,302
Japan,Kyle,リカルド どうぶつの森,0.0,0.0,0.0,0.0,4.0,11.0,81.0,0.8058252427184466,0.0,0.32233009708737864,112
Japan,Leonardo,ヒョウタ どうぶつの森,0.0,0.0,0.0,0.0,6.0,87.0,337.0,0.18446601941747576,0.0,0.0737864077669903,321
Japan,Leopold,ティーチャー どうぶつの森,0.0,0.0,0.0,0.0,6.0,10.0,260.0,0.3713592233009708,0.0,0.14854368932038833,261
Japan,Lily,レイニー どうぶつの森,0.0,0.0,0.0,0.0,2.0,13.0,28.0,0.9344660194174758,0.0,0.37378640776699035,64
Japan,Limberg,らっきょ どうぶつの森,0.0,0.0,0.0,0.0,6.0,143.0,393.0,0.04854368932038833,0.0,0.01941747572815533,367
Japan,Lionel,ライオネル どうぶつの森,0.0,0.0,0.0,0.0,6.0,15.0,265.0,0.35922330097087374,0.0,0.1436893203883495,264
Japan,Lobo,ブンジロウ どうぶつの森,0.03,0.0,0.0,0.021,4.0,55.0,125.0,0.6990291262135923,0.34426229508196726,0.4861690275346172,29
Japan,Lolly,ラムネ どうぶつの森,0.0,0.0,0.0,0.0,2.0,5.0,20.0,0.9538834951456311,0.0,0.38155339805825245,60
Japan,Lopez,トムソン どうぶつの森,0.024,0.0,0.0,0.017,4.0,35.0,105.0,0.7475728155339806,0.27868852459016397,0.4662422409676906,36
